PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NAME SOURCE,ACCESSION,SEQUENCE TYPE,SEQUENCE SOURCE,BRAZILIAN MAMMAL,AMAZ,MATL,CERR,CAAT,PANT,PAMP,MARI
Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,Polypedates megacephalus,GB,AY458598.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,Cathartes aura,GB,AY463690.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Gobiiformes,Gobiidae,Acanthogobius,Acanthogobius hasta,GB,AY486321.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes schlegelii,GB,AY491978.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Arthropoda,Insecta,Hemiptera,Aleyrodidae,Trialeurodes,Trialeurodes vaporariorum,GB,AY521265.2,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Passeriformes,Menuridae,Menura,Menura novaehollandiae,GB,AY542313.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Actinopteri,Acipenseriformes,Polyodontidae,Psephurus,Psephurus gladius,GB,AY571339.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Alytidae,Alytes,Alytes obstetricans,GB,AY585337.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Anura,Alytidae,Discoglossus,Discoglossus galganoi,GB,AY585339.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Aves,Passeriformes,Tyrannidae,Cnemotriccus,Cnemotriccus fuscatus,GB,AY596278.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Lepidosauria,Squamata,Rhineuridae,Rhineura,Rhineura floridana,GB,AY605473.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Lepidosauria,Squamata,Trogonophidae,Diplometopon,Diplometopon zarudnyi,GB,AY605474.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Lepidosauria,Squamata,Amphisbaenidae,Amphisbaena,Amphisbaena schmidti,GB,AY605475.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Lepidosauria,Squamata,Bipedidae,Bipes,Bipes tridactylus,GB,AY605477.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Stereochilus,Stereochilus marginatus,GB,AY728212.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Oedipina,Oedipina poelzi,GB,AY728213.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Speleomantes,Speleomantes italicus,GB,AY728215.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,Eurycea bislineata,GB,AY728217.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Pseudotriton,Pseudotriton ruber,GB,AY728220.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,Batrachoseps wrighti,GB,AY728221.1,mitogenome,GB,other class,0,0,0,0,0,0,0
Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon petraeus,GB,AY728222.1,mitogenome,GB,other class,0,0,0,0,0,0,0
